क 0915
ख 0916
ग 0917
घ 0918
ङ 0919
च 091A
छ 091B
ज 091C
झ 091D
ञ 091E
ट 091F
ठ 0920
ड 0921
ढ 0922
ण 0923
त 0924
थ 0925
द 0926
ध 0927
न 0928
प 092A
फ 092B
ब 092C
भ 092D
म 092E
य 092F
र 0930 
ल 0932
व 0935
श 0936
ष 0937
स 0938
ह 0939
अ 0905
आ 0906
इ 0907
ई 0908
उ 0909
ऊ 090A
ऍ 090D
ऎ 090E
ए 090F
ऐ 0910
ऑ 0911
ऒ 0912
ओ 0913
औ 0914
ऋ 090B
ॠ 0960
ऌ 090C
ॡ 0961
ॐ 0950
॒ 0952
ऽ 093D
ा 093E
ि 093F
ो 094B
ौ 094C
् 094D
ी 0940
ु 0941
ू 0942
ृ 0943
े 0947
ै 0948
ँ 0901
ं 0902
। 0964
॥ 0965
० 0966
१ 0967
२ 0968
३ 0969
४ 096A
५ 096B
६ 096C
७ 096D
८ 096E
९ 096F
ळ 0933
~ 007E
! 0021
@ 0040
# 0023
$ 0024
% 0025
^ 005E
& 0026
* 002A
( 0028
) 0029
_ 005F
+ 002B
| 007C
- 002D
= 003D
\ 005C
{ 007B
} 007D
[ 005B
] 005D
: 003A
" 0022
; 003B
' 0027
, 002C
. 002E
/ 002F
< 003C
> 003E
? 003F
क़ 0958
ख़ 0959
ग़ 095A
ज़ 095B
ड़ 095C
फ़ 095E
य़ 095F
ऱ 0931
ऴ 0934
ऩ 0929
ढ़ 095D


